Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
134,186.667,174.0,90.333,85.333,91.0,59.0,51.667,47.333,76.0,92.333,22.333000000000002,24.333000000000002,18.667,49.667,137.0,68.333,63.0,23.0,13.333,14.0,21.0,28.666999999999998,51.333,37.333
135,188.0,179.333,88.0,84.0,76.333,60.333,51.667,49.0,57.0,104.667,23.0,24.333000000000002,19.333,40.333,135.333,70.333,66.333,20.333,13.333,16.0,13.333,35.0,49.667,33.333
136,186.667,175.333,88.0,83.0,62.333,61.667,50.667,49.667,21.0,106.0,23.333000000000002,23.0,20.0,32.333,132.333,65.0,67.667,20.0,13.333,17.0,13.333,39.0,43.333,33.333
137,185.333,175.0,86.333,84.667,49.667,64.0,52.333,46.333,17.0,103.0,23.0,23.333000000000002,20.0,21.0,127.0,59.667,71.667,18.667,13.333,19.333,12.667,39.333,35.333,30.0
138,185.333,180.0,88.333,84.667,46.667,60.333,53.0,47.333,17.0,101.333,22.666999999999998,23.333000000000002,23.333000000000002,22.0,116.667,47.333,70.333,17.667,14.667,19.333,12.667,39.333,28.333000000000002,32.0
139,178.333,178.667,93.667,84.0,51.333,57.667,55.333,46.333,22.0,95.0,22.666999999999998,23.0,45.333,21.666999999999998,107.0,39.667,58.333,16.333,17.667,20.333,15.333,36.333,21.0,29.0
140,185.333,173.0,99.0,85.0,46.667,58.667,55.333,49.0,29.666999999999998,83.333,27.0,24.333000000000002,47.0,23.333000000000002,95.667,25.0,43.667,19.667,20.666999999999998,21.0,13.667,43.667,17.333,30.666999999999998
141,185.667,173.333,103.667,82.667,85.667,60.0,53.667,48.667,75.667,68.0,30.0,24.0,77.333,30.0,89.667,17.667,40.667,19.667,22.666999999999998,20.0,27.0,40.0,12.667,18.667
142,185.667,174.333,110.0,82.333,96.333,61.0,54.333,48.667,96.667,50.333,35.333,23.0,85.333,45.333,74.667,14.0,37.0,21.0,26.333000000000002,20.0,35.667,37.667,11.333,20.0
143,185.667,175.0,113.333,82.333,112.0,62.667,55.0,46.333,118.333,23.0,41.667,23.0,96.667,55.667,65.667,14.0,22.666999999999998,20.333,35.0,20.333,53.333,34.333,11.333,15.667
